Date,AAPL,MSFT,XOM,BP
2017-10-16,37.344642639160156,71.19278717041016,57.402347564697266,25.101533889770508
2017-10-17,37.482460021972656,71.13777923583984,57.50629806518555,24.781278610229492
2017-10-18,37.31660842895508,71.15612030029297,57.36766052246094,24.800491333007812
2017-10-19,36.43368148803711,71.43115997314453,57.353797912597656,24.819704055786133
2017-10-20,36.49674606323242,72.2563247680664,57.61027908325195,24.819704055786133
2017-10-23,36.47806167602539,72.274658203125,57.70037841796875,24.8453311920166
2017-10-24,36.6953010559082,72.30216979980469,57.859825134277344,24.979833602905273
2017-10-25,36.534122467041016,72.09131622314453,57.651859283447266,24.8453311920166
2017-10-26,36.7677116394043,72.21047973632812,57.859825134277344,24.755659103393555
2017-10-27,38.0850944519043,76.8405532836914,58.02616882324219,25.043886184692383
2017-10-30,38.942317962646484,76.91387176513672,57.90834426879883,25.37694549560547
2017-10-31,39.48421859741211,76.26293182373047,57.77665710449219,26.049482345581055
2017-11-01,38.98204040527344,76.26293182373047,58.1370849609375,26.10712432861328
2017-11-02,39.266998291015625,77.06059265136719,57.901424407958984,26.049482345581055
2017-11-03,40.29241180419922,77.14308166503906,57.658809661865234,25.979022979736328
2017-11-06,40.701175689697266,77.44564056396484,58.05392074584961,26.523456573486328
2017-11-07,40.83198165893555,77.26227569580078,57.93608093261719,26.56829071044922
2017-11-08,41.16599655151367,77.52816009521484,57.859825134277344,26.51704978942871
2017-11-09,41.08191680908203,77.09723663330078,58.20642852783203,26.465063095092773
2017-11-10,40.945953369140625,76.89556121826172,58.02452087402344,26.192089080810547
2017-11-13,40.7818489074707,76.9505615234375,57.98954391479492,25.919124603271484
2017-11-14,40.16532516479492,77.06059265136719,57.534812927246094,25.74363899230957
2017-11-15,39.63554763793945,76.46163177490234,56.81422424316406,25.405675888061523
2017-11-16,40.10906219482422,76.66435241699219,56.35947799682617,25.19769859313965
2017-11-17,39.88636779785156,75.92720794677734,56.13559341430664,25.405675888061523
2017-11-20,39.84650802612305,76.04698181152344,56.35249710083008,25.347187042236328
2017-11-21,40.58728790283203,77.14350891113281,56.57636260986328,25.431676864624023
2017-11-22,41.01393508911133,76.58141326904297,56.737266540527344,25.854122161865234
2017-11-24,41.01626968383789,76.71964263916016,56.96113204956055,26.02960777282715
2017-11-27,40.80998229980469,77.28174591064453,56.7442626953125,25.67864418029785
2017-11-28,40.57087326049805,78.21238708496094,57.13604736328125,25.9321231842041
2017-11-29,39.72931671142578,76.7933578491211,57.55579376220703,25.80862808227539
2017-11-30,40.28488540649414,77.55816650390625,58.26938247680664,26.042606353759766
2017-12-01,40.09736633300781,77.64109802246094,58.388301849365234,25.964614868164062
2017-12-04,39.804325103759766,74.71089935302734,58.465240478515625,25.938617706298828
2017-12-05,39.76681900024414,75.1808090209961,57.98954391479492,25.821624755859375
2017-12-06,39.619140625,76.27731323242188,57.56278991699219,25.72414207458496
2017-12-07,39.69179916381836,76.0101089477539,57.75167465209961,25.548660278320312
2017-12-08,39.703529357910156,77.54893493652344,57.82863235473633,25.76313591003418
2017-12-11,40.47710037231445,78.53491973876953,58.08747863769531,25.95162010192871
2017-12-12,40.24972152709961,78.85738372802734,57.898582458496094,26.42606544494629
2017-12-13,40.38334655761719,78.64545440673828,58.15043640136719,26.41956329345703
